table_catalog,table_schema,table_name,column_name,data_type,character_maximum_length,is_nullable,column_default
postgres,auth,audit_log_entries,instance_id,uuid,null,YES,null
postgres,auth,audit_log_entries,id,uuid,null,NO,null
postgres,auth,audit_log_entries,payload,json,null,YES,null
postgres,auth,audit_log_entries,created_at,timestamp with time zone,null,YES,null
postgres,auth,audit_log_entries,ip_address,character varying,64,NO,''::character varying
postgres,auth,flow_state,id,uuid,null,NO,null
postgres,auth,flow_state,user_id,uuid,null,YES,null
postgres,auth,flow_state,auth_code,text,null,NO,null
postgres,auth,flow_state,code_challenge_method,USER-DEFINED,null,NO,null
postgres,auth,flow_state,code_challenge,text,null,NO,null
postgres,auth,flow_state,provider_type,text,null,NO,null
postgres,auth,flow_state,provider_access_token,text,null,YES,null
postgres,auth,flow_state,provider_refresh_token,text,null,YES,null
postgres,auth,flow_state,created_at,timestamp with time zone,null,YES,null
postgres,auth,flow_state,updated_at,timestamp with time zone,null,YES,null
postgres,auth,flow_state,authentication_method,text,null,NO,null
postgres,auth,flow_state,auth_code_issued_at,timestamp with time zone,null,YES,null
postgres,auth,identities,provider_id,text,null,NO,null
postgres,auth,identities,user_id,uuid,null,NO,null
postgres,auth,identities,identity_data,jsonb,null,NO,null
postgres,auth,identities,provider,text,null,NO,null
postgres,auth,identities,last_sign_in_at,timestamp with time zone,null,YES,null
postgres,auth,identities,created_at,timestamp with time zone,null,YES,null
postgres,auth,identities,updated_at,timestamp with time zone,null,YES,null
postgres,auth,identities,email,text,null,YES,null
postgres,auth,identities,id,uuid,null,NO,gen_random_uuid()
postgres,auth,instances,id,uuid,null,NO,null
postgres,auth,instances,uuid,uuid,null,YES,null
postgres,auth,instances,raw_base_config,text,null,YES,null
postgres,auth,instances,created_at,timestamp with time zone,null,YES,null
postgres,auth,instances,updated_at,timestamp with time zone,null,YES,null
postgres,auth,mfa_amr_claims,session_id,uuid,null,NO,null
postgres,auth,mfa_amr_claims,created_at,timestamp with time zone,null,NO,null
postgres,auth,mfa_amr_claims,updated_at,timestamp with time zone,null,NO,null
postgres,auth,mfa_amr_claims,authentication_method,text,null,NO,null
postgres,auth,mfa_amr_claims,id,uuid,null,NO,null
postgres,auth,mfa_challenges,id,uuid,null,NO,null
postgres,auth,mfa_challenges,factor_id,uuid,null,NO,null
postgres,auth,mfa_challenges,created_at,timestamp with time zone,null,NO,null
postgres,auth,mfa_challenges,verified_at,timestamp with time zone,null,YES,null
postgres,auth,mfa_challenges,ip_address,inet,null,NO,null
postgres,auth,mfa_challenges,otp_code,text,null,YES,null
postgres,auth,mfa_challenges,web_authn_session_data,jsonb,null,YES,null
postgres,auth,mfa_factors,id,uuid,null,NO,null
postgres,auth,mfa_factors,user_id,uuid,null,NO,null
postgres,auth,mfa_factors,friendly_name,text,null,YES,null
postgres,auth,mfa_factors,factor_type,USER-DEFINED,null,NO,null
postgres,auth,mfa_factors,status,USER-DEFINED,null,NO,null
postgres,auth,mfa_factors,created_at,timestamp with time zone,null,NO,null
postgres,auth,mfa_factors,updated_at,timestamp with time zone,null,NO,null
postgres,auth,mfa_factors,secret,text,null,YES,null
postgres,auth,mfa_factors,phone,text,null,YES,null
postgres,auth,mfa_factors,last_challenged_at,timestamp with time zone,null,YES,null
postgres,auth,mfa_factors,web_authn_credential,jsonb,null,YES,null
postgres,auth,mfa_factors,web_authn_aaguid,uuid,null,YES,null
postgres,auth,one_time_tokens,id,uuid,null,NO,null
postgres,auth,one_time_tokens,user_id,uuid,null,NO,null
postgres,auth,one_time_tokens,token_type,USER-DEFINED,null,NO,null
postgres,auth,one_time_tokens,token_hash,text,null,NO,null
postgres,auth,one_time_tokens,relates_to,text,null,NO,null
postgres,auth,one_time_tokens,created_at,timestamp without time zone,null,NO,now()
postgres,auth,one_time_tokens,updated_at,timestamp without time zone,null,NO,now()
postgres,auth,refresh_tokens,instance_id,uuid,null,YES,null
postgres,auth,refresh_tokens,id,bigint,null,NO,nextval('auth.refresh_tokens_id_seq'::regclass)
postgres,auth,refresh_tokens,token,character varying,255,YES,null
postgres,auth,refresh_tokens,user_id,character varying,255,YES,null
postgres,auth,refresh_tokens,revoked,boolean,null,YES,null
postgres,auth,refresh_tokens,created_at,timestamp with time zone,null,YES,null
postgres,auth,refresh_tokens,updated_at,timestamp with time zone,null,YES,null
postgres,auth,refresh_tokens,parent,character varying,255,YES,null
postgres,auth,refresh_tokens,session_id,uuid,null,YES,null
postgres,auth,saml_providers,id,uuid,null,NO,null
postgres,auth,saml_providers,sso_provider_id,uuid,null,NO,null
postgres,auth,saml_providers,entity_id,text,null,NO,null
postgres,auth,saml_providers,metadata_xml,text,null,NO,null
postgres,auth,saml_providers,metadata_url,text,null,YES,null
postgres,auth,saml_providers,attribute_mapping,jsonb,null,YES,null
postgres,auth,saml_providers,created_at,timestamp with time zone,null,YES,null
postgres,auth,saml_providers,updated_at,timestamp with time zone,null,YES,null
postgres,auth,saml_providers,name_id_format,text,null,YES,null
postgres,auth,saml_relay_states,id,uuid,null,NO,null
postgres,auth,saml_relay_states,sso_provider_id,uuid,null,NO,null
postgres,auth,saml_relay_states,request_id,text,null,NO,null
postgres,auth,saml_relay_states,for_email,text,null,YES,null
postgres,auth,saml_relay_states,redirect_to,text,null,YES,null
postgres,auth,saml_relay_states,created_at,timestamp with time zone,null,YES,null
postgres,auth,saml_relay_states,updated_at,timestamp with time zone,null,YES,null
postgres,auth,saml_relay_states,flow_state_id,uuid,null,YES,null
postgres,auth,schema_migrations,version,character varying,255,NO,null
postgres,auth,sessions,id,uuid,null,NO,null
postgres,auth,sessions,user_id,uuid,null,NO,null
postgres,auth,sessions,created_at,timestamp with time zone,null,YES,null
postgres,auth,sessions,updated_at,timestamp with time zone,null,YES,null
postgres,auth,sessions,factor_id,uuid,null,YES,null
postgres,auth,sessions,aal,USER-DEFINED,null,YES,null
postgres,auth,sessions,not_after,timestamp with time zone,null,YES,null
postgres,auth,sessions,refreshed_at,timestamp without time zone,null,YES,null
postgres,auth,sessions,user_agent,text,null,YES,null
postgres,auth,sessions,ip,inet,null,YES,null
postgres,auth,sessions,tag,text,null,YES,null
postgres,auth,sso_domains,id,uuid,null,NO,null
postgres,auth,sso_domains,sso_provider_id,uuid,null,NO,null
postgres,auth,sso_domains,domain,text,null,NO,null
postgres,auth,sso_domains,created_at,timestamp with time zone,null,YES,null
postgres,auth,sso_domains,updated_at,timestamp with time zone,null,YES,null
postgres,auth,sso_providers,id,uuid,null,NO,null
postgres,auth,sso_providers,resource_id,text,null,YES,null
postgres,auth,sso_providers,created_at,timestamp with time zone,null,YES,null
postgres,auth,sso_providers,updated_at,timestamp with time zone,null,YES,null
postgres,auth,users,instance_id,uuid,null,YES,null
postgres,auth,users,id,uuid,null,NO,null
postgres,auth,users,aud,character varying,255,YES,null
postgres,auth,users,role,character varying,255,YES,null
postgres,auth,users,email,character varying,255,YES,null
postgres,auth,users,encrypted_password,character varying,255,YES,null
postgres,auth,users,email_confirmed_at,timestamp with time zone,null,YES,null
postgres,auth,users,invited_at,timestamp with time zone,null,YES,null
postgres,auth,users,confirmation_token,character varying,255,YES,null
postgres,auth,users,confirmation_sent_at,timestamp with time zone,null,YES,null
postgres,auth,users,recovery_token,character varying,255,YES,null
postgres,auth,users,recovery_sent_at,timestamp with time zone,null,YES,null
postgres,auth,users,email_change_token_new,character varying,255,YES,null
postgres,auth,users,email_change,character varying,255,YES,null
postgres,auth,users,email_change_sent_at,timestamp with time zone,null,YES,null
postgres,auth,users,last_sign_in_at,timestamp with time zone,null,YES,null
